vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.245000000000029e+00	7.695827e+01
6.245300000000029e+00	7.695444e+01
6.245600000000029e+00	7.695061e+01
6.245900000000029e+00	7.694677e+01
6.246200000000029e+00	7.694295e+01
6.246500000000029e+00	7.693912e+01
6.246800000000030e+00	7.693529e+01
6.247100000000030e+00	7.693146e+01
6.247400000000030e+00	7.692764e+01
6.247700000000030e+00	7.692380e+01
6.248000000000030e+00	7.691998e+01
6.248300000000031e+00	7.691615e+01
6.248600000000031e+00	7.691231e+01
6.248900000000031e+00	7.690849e+01
6.249200000000031e+00	7.690465e+01
6.249500000000031e+00	7.690084e+01
6.249800000000032e+00	7.689701e+01
6.250100000000032e+00	7.689319e+01
6.250400000000032e+00	7.688935e+01
6.250700000000032e+00	7.688553e+01
6.251000000000032e+00	7.688170e+01
6.251300000000032e+00	7.687788e+01
6.251600000000033e+00	7.687407e+01
6.251900000000033e+00	7.687023e+01
6.252200000000033e+00	7.686641e+01
6.252500000000033e+00	7.686258e+01
6.252800000000033e+00	7.685876e+01
6.253100000000034e+00	7.685493e+01
6.253400000000034e+00	7.685112e+01
6.253700000000034e+00	7.684730e+01
6.254000000000034e+00	7.684347e+01
6.254300000000034e+00	7.683965e+01
6.254600000000035e+00	7.683583e+01
6.254900000000035e+00	7.683201e+01
6.255200000000035e+00	7.682819e+01
6.255500000000035e+00	7.682438e+01
6.255800000000035e+00	7.682056e+01
6.256100000000036e+00	7.681673e+01
6.256400000000036e+00	7.681291e+01
6.256700000000036e+00	7.680909e+01
6.257000000000036e+00	7.680528e+01
6.257300000000036e+00	7.680146e+01
6.257600000000036e+00	7.679765e+01
6.257900000000037e+00	7.679383e+01
6.258200000000037e+00	7.679001e+01
6.258500000000037e+00	7.678619e+01
6.258800000000037e+00	7.678238e+01
6.259100000000037e+00	7.677857e+01
6.259400000000038e+00	7.677476e+01
6.259700000000038e+00	7.677094e+01
6.260000000000038e+00	7.676712e+01
6.260300000000038e+00	7.676330e+01
6.260600000000038e+00	7.675950e+01
6.260900000000039e+00	7.675568e+01
6.261200000000039e+00	7.675187e+01
6.261500000000039e+00	7.674806e+01
6.261800000000039e+00	7.674425e+01
6.262100000000039e+00	7.674044e+01
6.262400000000039e+00	7.673663e+01
6.262700000000040e+00	7.673281e+01
6.263000000000040e+00	7.672900e+01
6.263300000000040e+00	7.672519e+01
6.263600000000040e+00	7.672138e+01
6.263900000000040e+00	7.671758e+01
6.264200000000041e+00	7.671376e+01
6.264500000000041e+00	7.670996e+01
6.264800000000041e+00	7.670614e+01
6.265100000000041e+00	7.670233e+01
6.265400000000041e+00	7.669852e+01
6.265700000000042e+00	7.669473e+01
6.266000000000042e+00	7.669093e+01
6.266300000000042e+00	7.668711e+01
6.266600000000042e+00	7.668330e+01
6.266900000000042e+00	7.667949e+01
6.267200000000043e+00	7.667568e+01
6.267500000000043e+00	7.667189e+01
6.267800000000043e+00	7.666809e+01
6.268100000000043e+00	7.666429e+01
6.268400000000043e+00	7.666047e+01
6.268700000000043e+00	7.665667e+01
6.269000000000044e+00	7.665287e+01
6.269300000000044e+00	7.664906e+01
6.269600000000044e+00	7.664527e+01
6.269900000000044e+00	7.664146e+01
6.270200000000044e+00	7.663766e+01
6.270500000000045e+00	7.663385e+01
6.270800000000045e+00	7.663006e+01
6.271100000000045e+00	7.662626e+01
6.271400000000045e+00	7.662245e+01
6.271700000000045e+00	7.661866e+01
6.272000000000046e+00	7.661486e+01
6.272300000000046e+00	7.661106e+01
6.272600000000046e+00	7.660726e+01
6.272900000000046e+00	7.660346e+01
6.273200000000046e+00	7.659966e+01
6.273500000000046e+00	7.659586e+01
6.273800000000047e+00	7.659207e+01
6.274100000000047e+00	7.658828e+01
6.274400000000047e+00	7.658448e+01
6.274700000000047e+00	7.658068e+01
6.275000000000047e+00	7.657688e+01
6.275300000000048e+00	7.657308e+01
6.275600000000048e+00	7.656928e+01
6.275900000000048e+00	7.656551e+01
6.276200000000048e+00	7.656171e+01
6.276500000000048e+00	7.655791e+01
6.276800000000049e+00	7.655411e+01
6.277100000000049e+00	7.655032e+01
6.277400000000049e+00	7.654652e+01
6.277700000000049e+00	7.654274e+01
6.278000000000049e+00	7.653895e+01
6.278300000000050e+00	7.653515e+01
6.278600000000050e+00	7.653136e+01
6.278900000000050e+00	7.652756e+01
6.279200000000050e+00	7.652378e+01
6.279500000000050e+00	7.651999e+01
6.279800000000050e+00	7.651620e+01
6.280100000000051e+00	7.651241e+01
6.280400000000051e+00	7.650862e+01
6.280700000000051e+00	7.650483e+01
6.281000000000051e+00	7.650104e+01
6.281300000000051e+00	7.649725e+01
6.281600000000052e+00	7.649346e+01
6.281900000000052e+00	7.648968e+01
6.282200000000052e+00	7.648589e+01
6.282500000000052e+00	7.648210e+01
6.282800000000052e+00	7.647832e+01
6.283100000000053e+00	7.647453e+01
6.283400000000053e+00	7.647074e+01
6.283700000000053e+00	7.646695e+01
6.284000000000053e+00	7.646317e+01
6.284300000000053e+00	7.645940e+01
6.284600000000053e+00	7.645561e+01
6.284900000000054e+00	7.645182e+01
6.285200000000054e+00	7.644803e+01
6.285500000000054e+00	7.644425e+01
6.285800000000054e+00	7.644046e+01
6.286100000000054e+00	7.643669e+01
6.286400000000055e+00	7.643291e+01
6.286700000000055e+00	7.642913e+01
6.287000000000055e+00	7.642534e+01
6.287300000000055e+00	7.642156e+01
6.287600000000055e+00	7.641779e+01
6.287900000000056e+00	7.641400e+01
6.288200000000056e+00	7.641022e+01
6.288500000000056e+00	7.640645e+01
6.288800000000056e+00	7.640266e+01
6.289100000000056e+00	7.639888e+01
6.289400000000057e+00	7.639511e+01
6.289700000000057e+00	7.639133e+01
6.290000000000057e+00	7.638755e+01
6.290300000000057e+00	7.638377e+01
6.290600000000057e+00	7.638000e+01
6.290900000000057e+00	7.637621e+01
6.291200000000058e+00	7.637245e+01
6.291500000000058e+00	7.636866e+01
6.291800000000058e+00	7.636489e+01
6.292100000000058e+00	7.636111e+01
6.292400000000058e+00	7.635733e+01
6.292700000000059e+00	7.635358e+01
6.293000000000059e+00	7.634979e+01
6.293300000000059e+00	7.634602e+01
6.293600000000059e+00	7.634224e+01
6.293900000000059e+00	7.633847e+01
6.294200000000060e+00	7.633469e+01
6.294500000000060e+00	7.633092e+01
6.294800000000060e+00	7.632716e+01
6.295100000000060e+00	7.632338e+01
6.295400000000060e+00	7.631961e+01
6.295700000000060e+00	7.631583e+01
6.296000000000061e+00	7.631207e+01
6.296300000000061e+00	7.630830e+01
6.296600000000061e+00	7.630452e+01
6.296900000000061e+00	7.630077e+01
6.297200000000061e+00	7.629699e+01
6.297500000000062e+00	7.629322e+01
6.297800000000062e+00	7.628945e+01
6.298100000000062e+00	7.628569e+01
6.298400000000062e+00	7.628192e+01
6.298700000000062e+00	7.627814e+01
6.299000000000063e+00	7.627439e+01
6.299300000000063e+00	7.627062e+01
6.299600000000063e+00	7.626685e+01
6.299900000000063e+00	7.626308e+01
6.300200000000063e+00	7.625932e+01
6.300500000000063e+00	7.625555e+01
6.300800000000064e+00	7.625178e+01
6.301100000000064e+00	7.624803e+01
6.301400000000064e+00	7.624426e+01
6.301700000000064e+00	7.624050e+01
6.302000000000064e+00	7.623673e+01
6.302300000000065e+00	7.623297e+01
6.302600000000065e+00	7.622921e+01
6.302900000000065e+00	7.622544e+01
6.303200000000065e+00	7.622168e+01
6.303500000000065e+00	7.621792e+01
6.303800000000066e+00	7.621416e+01
6.304100000000066e+00	7.621039e+01
6.304400000000066e+00	7.620664e+01
6.304700000000066e+00	7.620288e+01
6.305000000000066e+00	7.619911e+01
6.305300000000067e+00	7.619535e+01
6.305600000000067e+00	7.619160e+01
6.305900000000067e+00	7.618784e+01
6.306200000000067e+00	7.618408e+01
6.306500000000067e+00	7.618033e+01
6.306800000000067e+00	7.617657e+01
6.307100000000068e+00	7.617280e+01
6.307400000000068e+00	7.616904e+01
6.307700000000068e+00	7.616530e+01
6.308000000000068e+00	7.616154e+01
6.308300000000068e+00	7.615778e+01
6.308600000000069e+00	7.615403e+01
6.308900000000069e+00	7.615027e+01
6.309200000000069e+00	7.614651e+01
6.309500000000069e+00	7.614276e+01
6.309800000000069e+00	7.613901e+01
6.310100000000070e+00	7.613526e+01
6.310400000000070e+00	7.613150e+01
6.310700000000070e+00	7.612775e+01
6.311000000000070e+00	7.612400e+01
6.311300000000070e+00	7.612024e+01
6.311600000000070e+00	7.611649e+01
6.311900000000071e+00	7.611274e+01
6.312200000000071e+00	7.610899e+01
6.312500000000071e+00	7.610524e+01
6.312800000000071e+00	7.610149e+01
6.313100000000071e+00	7.609774e+01
6.313400000000072e+00	7.609399e+01
6.313700000000072e+00	7.609023e+01
6.314000000000072e+00	7.608649e+01
6.314300000000072e+00	7.608275e+01
6.314600000000072e+00	7.607900e+01
6.314900000000073e+00	7.607524e+01
6.315200000000073e+00	7.607150e+01
6.315500000000073e+00	7.606774e+01
6.315800000000073e+00	7.606399e+01
6.316100000000073e+00	7.606026e+01
6.316400000000074e+00	7.605652e+01
6.316700000000074e+00	7.605277e+01
6.317000000000074e+00	7.604901e+01
6.317300000000074e+00	7.604527e+01
6.317600000000074e+00	7.604153e+01
6.317900000000074e+00	7.603778e+01
6.318200000000075e+00	7.603404e+01
6.318500000000075e+00	7.603030e+01
6.318800000000075e+00	7.602655e+01
6.319100000000075e+00	7.602280e+01
6.319400000000075e+00	7.601907e+01
6.319700000000076e+00	7.601532e+01
6.320000000000076e+00	7.601158e+01
6.320300000000076e+00	7.600783e+01
6.320600000000076e+00	7.600410e+01
6.320900000000076e+00	7.600036e+01
6.321200000000077e+00	7.599662e+01
6.321500000000077e+00	7.599288e+01
6.321800000000077e+00	7.598913e+01
6.322100000000077e+00	7.598539e+01
6.322400000000077e+00	7.598165e+01
6.322700000000077e+00	7.597793e+01
6.323000000000078e+00	7.597419e+01
6.323300000000078e+00	7.597044e+01
6.323600000000078e+00	7.596671e+01
6.323900000000078e+00	7.596296e+01
6.324200000000078e+00	7.595923e+01
6.324500000000079e+00	7.595549e+01
6.324800000000079e+00	7.595176e+01
6.325100000000079e+00	7.594803e+01
6.325400000000079e+00	7.594428e+01
6.325700000000079e+00	7.594055e+01
6.326000000000080e+00	7.593681e+01
6.326300000000080e+00	7.593308e+01
