rl	V(v2s)
1.040999999999998e+01	5.013743e+00
1.050999999999998e+01	5.013744e+00
1.060999999999998e+01	5.013746e+00
1.070999999999998e+01	5.013747e+00
1.080999999999998e+01	5.013749e+00
1.090999999999998e+01	5.013751e+00
1.100999999999998e+01	5.013752e+00
1.110999999999998e+01	5.013753e+00
1.120999999999998e+01	5.013755e+00
1.130999999999998e+01	5.013756e+00
1.140999999999998e+01	5.013757e+00
1.150999999999998e+01	5.013759e+00
1.160999999999998e+01	5.013760e+00
1.170999999999998e+01	5.013762e+00
1.180999999999998e+01	5.013762e+00
1.190999999999998e+01	5.013764e+00
1.200999999999997e+01	5.013765e+00
1.210999999999997e+01	5.013766e+00
1.220999999999997e+01	5.013768e+00
1.230999999999997e+01	5.013769e+00
1.240999999999997e+01	5.013770e+00
1.250999999999997e+01	5.013772e+00
1.260999999999997e+01	5.013772e+00
1.270999999999997e+01	5.013773e+00
1.280999999999997e+01	5.013775e+00
1.290999999999997e+01	5.013776e+00
1.300999999999997e+01	5.013777e+00
1.310999999999997e+01	5.013778e+00
1.320999999999997e+01	5.013779e+00
1.330999999999997e+01	5.013781e+00
1.340999999999997e+01	5.013782e+00
1.350999999999997e+01	5.013783e+00
1.360999999999997e+01	5.013783e+00
1.370999999999997e+01	5.013784e+00
1.380999999999997e+01	5.013786e+00
1.390999999999997e+01	5.013787e+00
1.400999999999997e+01	5.013788e+00
1.410999999999997e+01	5.013789e+00
1.420999999999997e+01	5.013790e+00
1.430999999999997e+01	5.013791e+00
1.440999999999997e+01	5.013792e+00
1.450999999999997e+01	5.013793e+00
1.460999999999997e+01	5.013793e+00
1.470999999999997e+01	5.013794e+00
1.480999999999996e+01	5.013795e+00
1.490999999999996e+01	5.013796e+00
1.500999999999996e+01	5.013797e+00
1.510999999999996e+01	5.013798e+00
1.520999999999996e+01	5.013799e+00
1.530999999999996e+01	5.013800e+00
1.540999999999996e+01	5.013801e+00
1.550999999999996e+01	5.013802e+00
1.560999999999996e+01	5.013803e+00
1.570999999999996e+01	5.013803e+00
1.580999999999996e+01	5.013804e+00
1.590999999999996e+01	5.013805e+00
1.600999999999996e+01	5.013806e+00
1.610999999999996e+01	5.013806e+00
1.620999999999997e+01	5.013807e+00
1.630999999999997e+01	5.013808e+00
1.640999999999997e+01	5.013809e+00
1.650999999999997e+01	5.013810e+00
1.660999999999997e+01	5.013811e+00
1.670999999999997e+01	5.013811e+00
1.680999999999997e+01	5.013812e+00
1.690999999999998e+01	5.013813e+00
1.700999999999998e+01	5.013813e+00
1.710999999999998e+01	5.013814e+00
1.720999999999998e+01	5.013815e+00
1.730999999999998e+01	5.013816e+00
1.740999999999998e+01	5.013816e+00
1.750999999999998e+01	5.013817e+00
1.760999999999999e+01	5.013818e+00
1.770999999999999e+01	5.013819e+00
1.780999999999999e+01	5.013819e+00
1.790999999999999e+01	5.013820e+00
1.800999999999999e+01	5.013821e+00
1.810999999999999e+01	5.013821e+00
1.820999999999999e+01	5.013822e+00
1.831000000000000e+01	5.013823e+00
1.841000000000000e+01	5.013824e+00
1.851000000000000e+01	5.013824e+00
1.861000000000000e+01	5.013824e+00
1.871000000000000e+01	5.013825e+00
1.881000000000000e+01	5.013826e+00
1.891000000000000e+01	5.013826e+00
1.901000000000001e+01	5.013827e+00
1.911000000000001e+01	5.013828e+00
1.921000000000001e+01	5.013828e+00
1.931000000000001e+01	5.013829e+00
1.941000000000001e+01	5.013830e+00
1.951000000000001e+01	5.013830e+00
1.961000000000001e+01	5.013831e+00
1.971000000000002e+01	5.013832e+00
1.981000000000002e+01	5.013832e+00
1.991000000000002e+01	5.013833e+00
2.001000000000002e+01	5.013833e+00
2.011000000000002e+01	5.013834e+00
2.021000000000002e+01	5.013834e+00
2.031000000000002e+01	5.013835e+00
2.041000000000003e+01	5.013835e+00
2.051000000000003e+01	5.013836e+00
2.061000000000003e+01	5.013837e+00
2.071000000000003e+01	5.013837e+00
2.081000000000003e+01	5.013838e+00
2.091000000000003e+01	5.013838e+00
2.101000000000003e+01	5.013839e+00
2.111000000000003e+01	5.013839e+00
2.121000000000004e+01	5.013840e+00
2.131000000000004e+01	5.013841e+00
2.141000000000004e+01	5.013841e+00
2.151000000000004e+01	5.013842e+00
2.161000000000004e+01	5.013842e+00
2.171000000000004e+01	5.013843e+00
2.181000000000004e+01	5.013843e+00
2.191000000000005e+01	5.013844e+00
2.201000000000005e+01	5.013844e+00
2.211000000000005e+01	5.013844e+00
2.221000000000005e+01	5.013845e+00
2.231000000000005e+01	5.013845e+00
2.241000000000005e+01	5.013846e+00
2.251000000000005e+01	5.013846e+00
2.261000000000006e+01	5.013847e+00
2.271000000000006e+01	5.013847e+00
2.281000000000006e+01	5.013848e+00
2.291000000000006e+01	5.013848e+00
2.301000000000006e+01	5.013849e+00
2.311000000000006e+01	5.013849e+00
2.321000000000006e+01	5.013850e+00
2.331000000000007e+01	5.013850e+00
2.341000000000007e+01	5.013851e+00
2.351000000000007e+01	5.013851e+00
2.361000000000007e+01	5.013852e+00
2.371000000000007e+01	5.013852e+00
2.381000000000007e+01	5.013853e+00
2.391000000000007e+01	5.013853e+00
2.401000000000008e+01	5.013854e+00
2.411000000000008e+01	5.013854e+00
2.421000000000008e+01	5.013855e+00
2.431000000000008e+01	5.013855e+00
2.441000000000008e+01	5.013855e+00
2.451000000000008e+01	5.013856e+00
2.461000000000008e+01	5.013856e+00
2.471000000000009e+01	5.013856e+00
2.481000000000009e+01	5.013857e+00
2.491000000000009e+01	5.013857e+00
2.501000000000009e+01	5.013858e+00
2.511000000000009e+01	5.013858e+00
2.521000000000009e+01	5.013859e+00
2.531000000000009e+01	5.013859e+00
2.541000000000010e+01	5.013859e+00
2.551000000000010e+01	5.013860e+00
