rl	V(v2s)	I(Rl)
1.030999999999998e+01	3.317992e+00	3.218227e-01
1.040999999999998e+01	3.317992e+00	3.187313e-01
1.050999999999998e+01	3.317993e+00	3.156987e-01
1.060999999999998e+01	3.317994e+00	3.127233e-01
1.070999999999998e+01	3.317995e+00	3.098035e-01
1.080999999999998e+01	3.317996e+00	3.069376e-01
1.090999999999998e+01	3.317997e+00	3.041244e-01
1.100999999999998e+01	3.317997e+00	3.013622e-01
1.110999999999998e+01	3.317998e+00	2.986497e-01
1.120999999999998e+01	3.317999e+00	2.959856e-01
1.130999999999998e+01	3.318000e+00	2.933687e-01
1.140999999999998e+01	3.318000e+00	2.907976e-01
1.150999999999998e+01	3.318001e+00	2.882712e-01
1.160999999999998e+01	3.318002e+00	2.857883e-01
1.170999999999998e+01	3.318002e+00	2.833478e-01
1.180999999999998e+01	3.318003e+00	2.809486e-01
1.190999999999998e+01	3.318004e+00	2.785898e-01
1.200999999999997e+01	3.318005e+00	2.762702e-01
1.210999999999997e+01	3.318005e+00	2.739889e-01
1.220999999999997e+01	3.318006e+00	2.717450e-01
1.230999999999997e+01	3.318007e+00	2.695375e-01
1.240999999999997e+01	3.318007e+00	2.673656e-01
1.250999999999997e+01	3.318008e+00	2.652285e-01
1.260999999999997e+01	3.318008e+00	2.631252e-01
1.270999999999997e+01	3.318009e+00	2.610550e-01
1.280999999999997e+01	3.318010e+00	2.590171e-01
1.290999999999997e+01	3.318010e+00	2.570109e-01
1.300999999999997e+01	3.318011e+00	2.550354e-01
1.310999999999997e+01	3.318012e+00	2.530901e-01
1.320999999999997e+01	3.318012e+00	2.511743e-01
1.330999999999997e+01	3.318013e+00	2.492872e-01
1.340999999999997e+01	3.318013e+00	2.474283e-01
1.350999999999997e+01	3.318014e+00	2.455969e-01
1.360999999999997e+01	3.318014e+00	2.437924e-01
1.370999999999997e+01	3.318015e+00	2.420142e-01
1.380999999999997e+01	3.318016e+00	2.402618e-01
1.390999999999997e+01	3.318016e+00	2.385346e-01
1.400999999999997e+01	3.318017e+00	2.368320e-01
1.410999999999997e+01	3.318017e+00	2.351536e-01
1.420999999999997e+01	3.318018e+00	2.334988e-01
1.430999999999997e+01	3.318018e+00	2.318671e-01
1.440999999999997e+01	3.318019e+00	2.302581e-01
1.450999999999997e+01	3.318019e+00	2.286712e-01
1.460999999999997e+01	3.318020e+00	2.271061e-01
1.470999999999997e+01	3.318020e+00	2.255622e-01
1.480999999999996e+01	3.318021e+00	2.240392e-01
1.490999999999996e+01	3.318021e+00	2.225366e-01
1.500999999999996e+01	3.318022e+00	2.210541e-01
1.510999999999996e+01	3.318022e+00	2.195911e-01
1.520999999999996e+01	3.318023e+00	2.181474e-01
1.530999999999996e+01	3.318023e+00	2.167226e-01
1.540999999999996e+01	3.318024e+00	2.153163e-01
1.550999999999996e+01	3.318024e+00	2.139280e-01
1.560999999999996e+01	3.318024e+00	2.125576e-01
1.570999999999996e+01	3.318025e+00	2.112046e-01
1.580999999999996e+01	3.318025e+00	2.098688e-01
1.590999999999996e+01	3.318026e+00	2.085497e-01
1.600999999999996e+01	3.318026e+00	2.072471e-01
1.610999999999996e+01	3.318027e+00	2.059607e-01
1.620999999999997e+01	3.318027e+00	2.046901e-01
1.630999999999997e+01	3.318027e+00	2.034352e-01
1.640999999999997e+01	3.318028e+00	2.021955e-01
1.650999999999997e+01	3.318028e+00	2.009708e-01
1.660999999999997e+01	3.318029e+00	1.997609e-01
1.670999999999997e+01	3.318029e+00	1.985655e-01
1.680999999999997e+01	3.318030e+00	1.973843e-01
1.690999999999998e+01	3.318030e+00	1.962170e-01
1.700999999999998e+01	3.318031e+00	1.950635e-01
1.710999999999998e+01	3.318031e+00	1.939235e-01
1.720999999999998e+01	3.318031e+00	1.927967e-01
1.730999999999998e+01	3.318032e+00	1.916829e-01
1.740999999999998e+01	3.318032e+00	1.905820e-01
1.750999999999998e+01	3.318033e+00	1.894936e-01
1.760999999999999e+01	3.318033e+00	1.884175e-01
1.770999999999999e+01	3.318033e+00	1.873537e-01
1.780999999999999e+01	3.318034e+00	1.863017e-01
1.790999999999999e+01	3.318034e+00	1.852615e-01
1.800999999999999e+01	3.318034e+00	1.842329e-01
1.810999999999999e+01	3.318035e+00	1.832156e-01
1.820999999999999e+01	3.318035e+00	1.822095e-01
1.831000000000000e+01	3.318035e+00	1.812144e-01
1.841000000000000e+01	3.318036e+00	1.802301e-01
1.851000000000000e+01	3.318036e+00	1.792564e-01
1.861000000000000e+01	3.318037e+00	1.782932e-01
1.871000000000000e+01	3.318037e+00	1.773403e-01
1.881000000000000e+01	3.318037e+00	1.763975e-01
1.891000000000000e+01	3.318038e+00	1.754647e-01
1.901000000000001e+01	3.318038e+00	1.745417e-01
1.911000000000001e+01	3.318038e+00	1.736284e-01
1.921000000000001e+01	3.318038e+00	1.727245e-01
1.931000000000001e+01	3.318039e+00	1.718301e-01
1.941000000000001e+01	3.318039e+00	1.709448e-01
1.951000000000001e+01	3.318039e+00	1.700687e-01
1.961000000000001e+01	3.318040e+00	1.692014e-01
1.971000000000002e+01	3.318040e+00	1.683430e-01
