vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.225800000000016e+00	5.024292e+01
6.226100000000017e+00	5.024037e+01
6.226400000000017e+00	5.023782e+01
6.226700000000017e+00	5.023526e+01
6.227000000000017e+00	5.023271e+01
6.227300000000017e+00	5.023016e+01
6.227600000000018e+00	5.022761e+01
6.227900000000018e+00	5.022506e+01
6.228200000000018e+00	5.022251e+01
6.228500000000018e+00	5.021996e+01
6.228800000000018e+00	5.021741e+01
6.229100000000019e+00	5.021485e+01
6.229400000000019e+00	5.021231e+01
6.229700000000019e+00	5.020975e+01
6.230000000000019e+00	5.020721e+01
6.230300000000019e+00	5.020466e+01
6.230600000000019e+00	5.020211e+01
6.230900000000020e+00	5.019956e+01
6.231200000000020e+00	5.019701e+01
6.231500000000020e+00	5.019446e+01
6.231800000000020e+00	5.019192e+01
6.232100000000020e+00	5.018937e+01
6.232400000000021e+00	5.018682e+01
6.232700000000021e+00	5.018427e+01
6.233000000000021e+00	5.018173e+01
6.233300000000021e+00	5.017917e+01
6.233600000000021e+00	5.017663e+01
6.233900000000022e+00	5.017408e+01
6.234200000000022e+00	5.017154e+01
6.234500000000022e+00	5.016899e+01
6.234800000000022e+00	5.016645e+01
6.235100000000022e+00	5.016391e+01
6.235400000000022e+00	5.016136e+01
6.235700000000023e+00	5.015881e+01
6.236000000000023e+00	5.015626e+01
6.236300000000023e+00	5.015373e+01
6.236600000000023e+00	5.015118e+01
6.236900000000023e+00	5.014864e+01
6.237200000000024e+00	5.014609e+01
6.237500000000024e+00	5.014355e+01
6.237800000000024e+00	5.014100e+01
6.238100000000024e+00	5.013846e+01
6.238400000000024e+00	5.013592e+01
6.238700000000025e+00	5.013338e+01
6.239000000000025e+00	5.013084e+01
6.239300000000025e+00	5.012830e+01
6.239600000000025e+00	5.012575e+01
6.239900000000025e+00	5.012321e+01
6.240200000000026e+00	5.012067e+01
6.240500000000026e+00	5.011813e+01
6.240800000000026e+00	5.011559e+01
6.241100000000026e+00	5.011305e+01
6.241400000000026e+00	5.011051e+01
6.241700000000026e+00	5.010797e+01
6.242000000000027e+00	5.010542e+01
6.242300000000027e+00	5.010289e+01
6.242600000000027e+00	5.010035e+01
6.242900000000027e+00	5.009781e+01
6.243200000000027e+00	5.009527e+01
6.243500000000028e+00	5.009273e+01
6.243800000000028e+00	5.009019e+01
6.244100000000028e+00	5.008766e+01
6.244400000000028e+00	5.008512e+01
6.244700000000028e+00	5.008258e+01
6.245000000000029e+00	5.008005e+01
6.245300000000029e+00	5.007751e+01
