time	V(v2s)
Step Information: Cl=1µ  (Step: 1/9)
1.999968857729080e-03	5.013900e+00
1.999969857729080e-03	5.013900e+00
1.999971857729080e-03	5.013900e+00
1.999975857729080e-03	5.013900e+00
1.999983857729080e-03	5.013900e+00
1.999984000000000e-03	5.013900e+00
1.999984284541841e-03	5.013900e+00
1.999984853625522e-03	5.013900e+00
1.999985991792884e-03	5.013900e+00
1.999988268127609e-03	5.013900e+00
1.999992820797059e-03	5.013900e+00
1.999993820797059e-03	5.013900e+00
1.999995820797059e-03	5.013900e+00
1.999996358405882e-03	5.013900e+00
1.999997075217647e-03	5.013900e+00
1.999998508841176e-03	5.013900e+00
1.999999000000000e-03	5.013900e+00
1.999999017682351e-03	5.013900e+00
1.999999053047053e-03	5.013900e+00
1.999999123776456e-03	5.013900e+00
1.999999265235262e-03	5.013900e+00
1.999999548152875e-03	5.013900e+00
2.000000000000000e-03	5.013900e+00
2.000000045184712e-03	5.013906e+00
2.000000135554137e-03	5.013909e+00
2.000000316292988e-03	5.013910e+00
2.000000638522300e-03	5.013911e+00
2.000001000000000e-03	5.013914e+00
2.000001036147770e-03	5.013909e+00
2.000001108443310e-03	5.013907e+00
2.000001253034390e-03	5.013909e+00
2.000001542216550e-03	5.013914e+00
2.000002120580869e-03	5.013924e+00
2.000003277309508e-03	5.013947e+00
2.000005590766787e-03	5.013999e+00
2.000010217681344e-03	5.014114e+00
2.000019471510458e-03	5.014341e+00
2.000033894181834e-03	5.014632e+00
2.000051954496207e-03	5.014873e+00
2.000081193731714e-03	5.015087e+00
2.000116242963322e-03	5.015224e+00
2.000158335804035e-03	5.015322e+00
2.000220194987001e-03	5.015426e+00
2.000332485301317e-03	5.015560e+00
2.000557065929951e-03	5.015716e+00
2.000972813571180e-03	5.015841e+00
2.001552873725108e-03	5.015891e+00
2.002262376245607e-03	5.015900e+00
2.002943749371646e-03	5.015900e+00
2.003943749371647e-03	5.015900e+00
2.004943749371647e-03	5.015900e+00
2.005943749371647e-03	5.015900e+00
2.006943749371647e-03	5.015900e+00
2.923943749371769e-03	5.015900e+00
2.999604017590194e-03	5.015900e+00
2.999818602964192e-03	5.015900e+00
2.999877613143906e-03	5.015900e+00
2.999893712633898e-03	5.015900e+00
2.999915178620553e-03	5.015900e+00
2.999958110593862e-03	5.015900e+00
2.999959110593862e-03	5.015900e+00
2.999961110593862e-03	5.015900e+00
2.999965110593862e-03	5.015900e+00
2.999973110593861e-03	5.015900e+00
2.999985000000001e-03	5.015900e+00
2.999988000000001e-03	5.015900e+00
2.999992000000001e-03	5.015900e+00
2.999995000000001e-03	5.015900e+00
2.999997000000000e-03	5.015900e+00
2.999998000000000e-03	5.015900e+00
2.999999000000000e-03	5.015900e+00
3.000000000000000e-03	5.015900e+00
3.000001000000000e-03	5.015901e+00
3.000001100000000e-03	5.015894e+00
3.000001300000000e-03	5.015890e+00
3.000001600000000e-03	5.015889e+00
3.000002000000000e-03	5.015885e+00
3.000002040000000e-03	5.015890e+00
3.000002120000000e-03	5.015893e+00
3.000002280000000e-03	5.015891e+00
3.000002600000000e-03	5.015885e+00
3.000003240000000e-03	5.015874e+00
3.000004520000001e-03	5.015848e+00
3.000007080000002e-03	5.015790e+00
3.000012200000003e-03	5.015662e+00
3.000022440000007e-03	5.015413e+00
3.000036204508866e-03	5.015145e+00
3.000055210712162e-03	5.014905e+00
3.000085306414846e-03	5.014695e+00
3.000120123349647e-03	5.014565e+00
3.000164039568100e-03	5.014466e+00
3.000227598265614e-03	5.014362e+00
3.000347564304835e-03	5.014225e+00
3.000583217850637e-03	5.014071e+00
3.001018114733975e-03	5.013950e+00
3.001575585709006e-03	5.013907e+00
3.002282071911820e-03	5.013900e+00
3.002966411782985e-03	5.013900e+00
3.003966411782985e-03	5.013900e+00
3.004966411782985e-03	5.013900e+00
3.005966411782985e-03	5.013900e+00
3.016966411782986e-03	5.013900e+00
3.898966411783104e-03	5.013900e+00
3.997966411783117e-03	5.013900e+00
3.999000000000000e-03	5.013900e+00
3.999201529301299e-03	5.013900e+00
3.999470235036364e-03	5.013900e+00
3.999471235036365e-03	5.013900e+00
3.999473235036364e-03	5.013900e+00
3.999477235036364e-03	5.013900e+00
3.999485235036364e-03	5.013900e+00
3.999501235036364e-03	5.013900e+00
3.999533235036364e-03	5.013900e+00
3.999725235036364e-03	5.013900e+00
3.999781529927272e-03	5.013900e+00
3.999856589781816e-03	5.013900e+00
3.999857589781816e-03	5.013900e+00
3.999859589781816e-03	5.013900e+00
3.999863589781816e-03	5.013900e+00
3.999871589781816e-03	5.013900e+00
3.999887589781816e-03	5.013900e+00
3.999936000000000e-03	5.013900e+00
3.999968820436369e-03	5.013900e+00
3.999969820436369e-03	5.013900e+00
3.999971820436369e-03	5.013900e+00
3.999975820436368e-03	5.013900e+00
3.999983820436369e-03	5.013900e+00
3.999984000000000e-03	5.013900e+00
3.999984359127262e-03	5.013900e+00
3.999985077381788e-03	5.013900e+00
3.999986513890838e-03	5.013900e+00
3.999989386908940e-03	5.013900e+00
3.999994253963798e-03	5.013900e+00
3.999995253963798e-03	5.013900e+00
3.999997253963798e-03	5.013900e+00
3.999998253963798e-03	5.013900e+00
3.999999000000000e-03	5.013900e+00
4.000000000000000e-03	5.013900e+00
4.000000100000000e-03	5.013906e+00
4.000000300000000e-03	5.013910e+00
4.000000600000000e-03	5.013911e+00
4.000001000000000e-03	5.013915e+00
4.000001040000000e-03	5.013910e+00
4.000001120000000e-03	5.013907e+00
4.000001280000000e-03	5.013909e+00
4.000001600000001e-03	5.013915e+00
4.000002240000001e-03	5.013926e+00
4.000003520000001e-03	5.013952e+00
4.000006080000002e-03	5.014010e+00
4.000011200000004e-03	5.014139e+00
4.000021440000007e-03	5.014386e+00
4.000035967582463e-03	5.014666e+00
4.000055404878646e-03	5.014905e+00
4.000086785601903e-03	5.015115e+00
4.000120874463024e-03	5.015237e+00
4.000166432017198e-03	5.015337e+00
4.000230895825635e-03	5.015441e+00
4.000359823442508e-03	5.015585e+00
4.000605329800777e-03	5.015739e+00
4.001061780964427e-03	5.015855e+00
4.001611318263785e-03	5.015893e+00
4.002325687287167e-03	5.015900e+00
4.003018169246337e-03	5.015900e+00
4.004018169246337e-03	5.015900e+00
4.005018169246337e-03	5.015900e+00
4.006018169246338e-03	5.015900e+00
4.864018169246451e-03	5.015900e+00
4.998018169246469e-03	5.015900e+00
4.999018169246469e-03	5.015900e+00
4.999019169246470e-03	5.015900e+00
4.999021169246470e-03	5.015900e+00
4.999025169246472e-03	5.015900e+00
4.999033169246474e-03	5.015900e+00
4.999049169246480e-03	5.015900e+00
4.999081169246491e-03	5.015900e+00
4.999273169246556e-03	5.015900e+00
4.999529169246644e-03	5.015900e+00
4.999530169246644e-03	5.015900e+00
4.999532169246645e-03	5.015900e+00
4.999536169246646e-03	5.015900e+00
4.999544169246649e-03	5.015900e+00
4.999560169246654e-03	5.015900e+00
4.999592169246665e-03	5.015900e+00
4.999656169246687e-03	5.015900e+00
4.999784169246731e-03	5.015900e+00
4.999785169246731e-03	5.015900e+00
4.999787169246732e-03	5.015900e+00
4.999791169246733e-03	5.015900e+00
4.999799169246736e-03	5.015900e+00
4.999815169246741e-03	5.015900e+00
4.999847169246752e-03	5.015900e+00
4.999911169246774e-03	5.015900e+00
4.999912169246774e-03	5.015900e+00
4.999914169246775e-03	5.015900e+00
4.999918169246776e-03	5.015900e+00
4.999926169246779e-03	5.015900e+00
4.999942169246784e-03	5.015900e+00
4.999968999999990e-03	5.015900e+00
4.999969999999990e-03	5.015900e+00
4.999971999999991e-03	5.015900e+00
4.999983999999995e-03	5.015900e+00
4.999986999999996e-03	5.015900e+00
4.999992999999998e-03	5.015900e+00
4.999996999999999e-03	5.015900e+00
4.999997999999999e-03	5.015900e+00
4.999999000000000e-03	5.015900e+00
5.000000000000000e-03	5.015900e+00
5.000001000000000e-03	5.015900e+00
5.000001100000000e-03	5.015894e+00
