time	V(v2s)
Step Information: C1val=220p C3val=10p  (Step: 1/12)
3.177766180607560e-05	5.016325e+00
3.277766180607560e-05	5.016325e+00
3.377766180607560e-05	5.016325e+00
3.477766180607559e-05	5.016325e+00
3.577766180607559e-05	5.016325e+00
3.677766180607559e-05	5.016325e+00
3.777766180607559e-05	5.016325e+00
3.877766180607558e-05	5.016325e+00
3.977766180607558e-05	5.016325e+00
4.077766180607558e-05	5.016325e+00
4.177766180607558e-05	5.016325e+00
4.277766180607557e-05	5.016325e+00
4.377766180607557e-05	5.016325e+00
4.477766180607557e-05	5.016325e+00
4.577766180607556e-05	5.016325e+00
4.677766180607556e-05	5.016325e+00
4.777766180607556e-05	5.016325e+00
4.877766180607556e-05	5.016325e+00
4.977766180607555e-05	5.016325e+00
5.077766180607555e-05	5.016325e+00
5.177766180607555e-05	5.016325e+00
5.377766180607554e-05	5.016325e+00
5.577766180607554e-05	5.016325e+00
5.877766180607553e-05	5.016325e+00
6.377766180607551e-05	5.016325e+00
7.877766180607547e-05	5.016325e+00
9.967776618060910e-04	5.016325e+00
9.990010000000000e-04	5.016325e+00
9.994476763878185e-04	5.016325e+00
9.994486763878184e-04	5.016325e+00
9.994506763878182e-04	5.016325e+00
9.994546763878178e-04	5.016325e+00
9.994626763878171e-04	5.016325e+00
9.994786763878156e-04	5.016325e+00
9.995106763878126e-04	5.016325e+00
9.997450000000237e-04	5.016325e+00
9.998296472244813e-04	5.016325e+00
9.998317055510846e-04	5.016325e+00
9.998358222042913e-04	5.016325e+00
9.998440555107047e-04	5.016325e+00
9.998605221235315e-04	5.016325e+00
9.998934553491850e-04	5.016325e+00
9.999351335486929e-04	5.016325e+00
9.999361335486928e-04	5.016325e+00
9.999381335486926e-04	5.016325e+00
9.999421335486923e-04	5.016325e+00
9.999501335486915e-04	5.016325e+00
9.999661335486900e-04	5.016325e+00
9.999747329026286e-04	5.016325e+00
9.999861987078800e-04	5.016325e+00
9.999891987078798e-04	5.016325e+00
9.999931987078794e-04	5.016325e+00
9.999941987078793e-04	5.016325e+00
9.999961987078791e-04	5.016325e+00
9.999986025842427e-04	5.016325e+00
9.999996025842426e-04	5.016325e+00
1.000000000000000e-03	5.016325e+00
1.000000205168485e-03	5.016324e+00
1.000000615505455e-03	5.016324e+00
1.000001000000000e-03	5.016325e+00
1.000001038449454e-03	5.016318e+00
1.000001115348363e-03	5.016314e+00
1.000001269146181e-03	5.016314e+00
1.000001576741817e-03	5.016313e+00
1.000002000000000e-03	5.016311e+00
1.000002042325818e-03	5.016317e+00
1.000002126977455e-03	5.016320e+00
1.000002296280728e-03	5.016320e+00
1.000002634887275e-03	5.016320e+00
1.000003312100367e-03	5.016318e+00
1.000004666526553e-03	5.016315e+00
1.000007375378923e-03	5.016308e+00
1.000012793083665e-03	5.016289e+00
1.000023628493148e-03	5.016245e+00
1.000037939360005e-03	5.016184e+00
1.000057972493353e-03	5.016099e+00
1.000088982769844e-03	5.015976e+00
1.000151003322827e-03	5.015757e+00
1.000275044428792e-03	5.015407e+00
1.000523126640723e-03	5.014919e+00
1.000825536706195e-03	5.014560e+00
1.001151440931717e-03	5.014365e+00
1.001490619457160e-03	5.014280e+00
1.001875104257785e-03	5.014251e+00
1.002314960867091e-03	5.014249e+00
1.002879360822288e-03	5.014258e+00
1.003736514783228e-03	5.014273e+00
1.004525773119558e-03	5.014283e+00
1.005427347182150e-03	5.014292e+00
1.006297662418351e-03	5.014299e+00
1.007297662418351e-03	5.014305e+00
1.008297662418351e-03	5.014309e+00
1.009297662418351e-03	5.014312e+00
1.010297662418350e-03	5.014315e+00
1.011297662418350e-03	5.014317e+00
1.012297662418350e-03	5.014318e+00
1.013297662418350e-03	5.014319e+00
1.014297662418350e-03	5.014320e+00
1.015297662418350e-03	5.014321e+00
1.016297662418350e-03	5.014322e+00
1.017297662418350e-03	5.014322e+00
1.018297662418350e-03	5.014322e+00
1.019297662418350e-03	5.014323e+00
1.020297662418350e-03	5.014323e+00
1.021297662418350e-03	5.014323e+00
1.022297662418349e-03	5.014323e+00
1.023297662418349e-03	5.014324e+00
1.024297662418349e-03	5.014324e+00
1.025297662418349e-03	5.014324e+00
1.026297662418349e-03	5.014324e+00
1.027297662418349e-03	5.014324e+00
1.028297662418349e-03	5.014324e+00
1.029297662418349e-03	5.014324e+00
1.030297662418349e-03	5.014324e+00
1.031297662418349e-03	5.014324e+00
1.032297662418349e-03	5.014324e+00
1.033297662418349e-03	5.014324e+00
1.034297662418348e-03	5.014324e+00
1.035297662418348e-03	5.014324e+00
1.036297662418348e-03	5.014324e+00
1.037297662418348e-03	5.014324e+00
1.038297662418348e-03	5.014324e+00
1.039297662418348e-03	5.014324e+00
1.040297662418348e-03	5.014324e+00
1.041297662418348e-03	5.014324e+00
1.042297662418348e-03	5.014324e+00
1.043297662418348e-03	5.014324e+00
1.044297662418348e-03	5.014324e+00
1.045297662418348e-03	5.014324e+00
1.046297662418347e-03	5.014324e+00
1.047297662418347e-03	5.014324e+00
1.048297662418347e-03	5.014324e+00
1.049297662418347e-03	5.014324e+00
1.050297662418347e-03	5.014324e+00
1.051297662418347e-03	5.014324e+00
1.053297662418347e-03	5.014324e+00
1.055297662418347e-03	5.014324e+00
1.058297662418346e-03	5.014324e+00
1.063297662418346e-03	5.014324e+00
1.076297662418345e-03	5.014324e+00
1.960297662418272e-03	5.014324e+00
1.998297662418277e-03	5.014324e+00
1.999000000000000e-03	5.014324e+00
1.999001000000000e-03	5.014324e+00
1.999003000000000e-03	5.014324e+00
1.999007000000000e-03	5.014324e+00
1.999015000000000e-03	5.014324e+00
1.999031000000000e-03	5.014324e+00
1.999063000000000e-03	5.014324e+00
1.999255000000000e-03	5.014324e+00
1.999511000000000e-03	5.014324e+00
1.999512000000000e-03	5.014324e+00
1.999514000000000e-03	5.014324e+00
1.999518000000000e-03	5.014324e+00
1.999526000000000e-03	5.014324e+00
1.999542000000000e-03	5.014324e+00
1.999574000000000e-03	5.014324e+00
1.999638000000000e-03	5.014324e+00
1.999766000000000e-03	5.014324e+00
1.999767000000000e-03	5.014324e+00
1.999768999999999e-03	5.014324e+00
1.999772999999999e-03	5.014324e+00
1.999781000000000e-03	5.014324e+00
1.999796999999999e-03	5.014324e+00
1.999828999999999e-03	5.014324e+00
1.999893000000000e-03	5.014324e+00
1.999893999999999e-03	5.014324e+00
1.999895999999999e-03	5.014324e+00
1.999899999999999e-03	5.014324e+00
1.999907999999999e-03	5.014324e+00
1.999923999999999e-03	5.014324e+00
1.999955999999999e-03	5.014324e+00
1.999956999999999e-03	5.014324e+00
1.999958999999999e-03	5.014324e+00
1.999962999999999e-03	5.014324e+00
1.999970999999999e-03	5.014324e+00
1.999984000000000e-03	5.014324e+00
1.999987000000000e-03	5.014324e+00
1.999991000000000e-03	5.014324e+00
1.999996000000000e-03	5.014324e+00
1.999997000000000e-03	5.014324e+00
1.999998000000000e-03	5.014324e+00
1.999999000000000e-03	5.014324e+00
2.000000000000000e-03	5.014324e+00
2.000000100000000e-03	5.014330e+00
2.000000300000000e-03	5.014335e+00
2.000000600000000e-03	5.014337e+00
2.000001000000000e-03	5.014338e+00
2.000001040000000e-03	5.014332e+00
2.000001120000000e-03	5.014328e+00
2.000001280000000e-03	5.014328e+00
2.000001600000000e-03	5.014329e+00
2.000002240000000e-03	5.014330e+00
2.000003520000001e-03	5.014332e+00
2.000006080000002e-03	5.014339e+00
2.000011200000003e-03	5.014357e+00
2.000021440000007e-03	5.014399e+00
2.000036919329947e-03	5.014468e+00
2.000057418008700e-03	5.014559e+00
2.000091015175291e-03	5.014703e+00
2.000158209508475e-03	5.014962e+00
2.000292598174841e-03	5.015380e+00
2.000514456029973e-03	5.015851e+00
2.000761311663026e-03	5.016146e+00
2.001004048984127e-03	5.016278e+00
2.001280053821974e-03	5.016338e+00
2.001626047983425e-03	5.016363e+00
2.002098558364722e-03	5.016370e+00
2.002741997378028e-03	5.016367e+00
2.003741997378029e-03	5.016360e+00
2.004741997378029e-03	5.016354e+00
2.005741997378029e-03	5.016348e+00
2.006741997378029e-03	5.016344e+00
2.007741997378029e-03	5.016340e+00
2.008741997378029e-03	5.016337e+00
2.009741997378029e-03	5.016335e+00
2.010741997378029e-03	5.016333e+00
2.011741997378030e-03	5.016331e+00
2.012741997378030e-03	5.016330e+00
2.013741997378030e-03	5.016329e+00
2.014741997378030e-03	5.016328e+00
2.015741997378030e-03	5.016327e+00
2.016741997378030e-03	5.016327e+00
2.017741997378030e-03	5.016326e+00
2.018741997378031e-03	5.016326e+00
2.019741997378031e-03	5.016325e+00
2.020741997378031e-03	5.016325e+00
